Ligand,Binding Affinity,Binding Affinity,Binding Affinity,Mean,Standard Deviation
HDAC4_LMK-235,-8.2,-7,-8.1,-7.766666667,0.665832812
HDAC4_MC1568,-9.4,-8.1,-9.4,-8.966666667,0.75055535
HDAC4_PCI-34051,-8.4,-7.2,-8.4,-8,0.692820323
HDAC4_RGFP996,-8.9,-8.4,-8.9,-8.733333333,0.288675135
HDAC4_Ricolinostat,-9.6,-10,-9.6,-9.733333333,0.230940108
HDAC4_TMP195,-10.8,-9.5,-10,-10.1,0.655743852
HDAC4_Tubacin,-10.7,-12.4,-10.9,-11.33333333,0.929157324
HDAC4_ligand_1,-5.1,-5,-5.2,-5.1,0.1
HDAC4_ligand_10,-4.8,-5.1,-5.1,-5,0.173205081
HDAC4_ligand_11,-5.2,-5.2,-5.1,-5.166666667,0.057735027
HDAC4_ligand_12,-6.6,-7.7,-6.6,-6.966666667,0.635085296
HDAC4_ligand_13,-6.8,-6.1,-6.8,-6.566666667,0.404145188
HDAC4_ligand_14,-6.3,-6.3,-6.3,-6.3,0
HDAC4_ligand_15,-6.2,-5.6,-5.8,-5.866666667,0.305505046
HDAC4_ligand_16,-8.3,-7.3,-8.3,-7.966666667,0.577350269
HDAC4_ligand_17,-6.9,-6.9,-6.9,-6.9,1.08779E-15
HDAC4_ligand_18,-8.7,-7,-8.7,-8.133333333,0.981495458
HDAC4_ligand_19,-6,-5.8,-6,-5.933333333,0.115470054
HDAC4_ligand_2,-5.3,-4.8,-5,-5.033333333,0.251661148
HDAC4_ligand_20,-6.2,-6,-6.2,-6.133333333,0.115470054
HDAC4_ligand_21,-9,-6.6,-9,-8.2,1.385640646
HDAC4_ligand_22,-6.4,-6.4,-6.4,-6.4,1.08779E-15
HDAC4_ligand_23,-6.2,-5.5,-6.2,-5.966666667,0.404145188
HDAC4_ligand_24,-6.5,-7.2,-6.5,-6.733333333,0.404145188
HDAC4_ligand_25,-5.8,-5.8,-5.6,-5.733333333,0.115470054
HDAC4_ligand_26,-6.1,-5.9,-6.1,-6.033333333,0.115470054
HDAC4_ligand_27,-5.9,-6.1,-5.8,-5.933333333,0.152752523
HDAC4_ligand_28,-7.5,-7.5,-7.5,-7.5,0
HDAC4_ligand_29,-8.6,-7.7,-8.4,-8.233333333,0.472581563
HDAC4_ligand_3,-5.8,-5.2,-5.8,-5.6,0.346410162
HDAC4_ligand_30,-6.1,-5.9,-6.1,-6.033333333,0.115470054
HDAC4_ligand_31,-8.9,-7.5,-8.9,-8.433333333,0.808290377
HDAC4_ligand_32,-5.6,-5.6,-5.6,-5.6,1.08779E-15
HDAC4_ligand_33,-7.8,-7.8,-7.8,-7.8,0
HDAC4_ligand_34,-6.6,-5.6,-6.6,-6.266666667,0.577350269
HDAC4_ligand_35,-9,-9.1,-8.9,-9,0.1
HDAC4_ligand_36,-9,-8.8,-8.9,-8.9,0.1
HDAC4_ligand_37,-7.7,-7.7,-7.7,-7.7,0
HDAC4_ligand_38,-9,-7.6,-9,-8.533333333,0.808290377
HDAC4_ligand_39,-7.5,-8.1,-7.5,-7.7,0.346410162
HDAC4_ligand_4,-6,-6.4,-6,-6.133333333,0.230940108
HDAC4_ligand_40,-7.8,-7.8,-7.8,-7.8,0
HDAC4_ligand_41,-7.9,-6.9,-7.9,-7.566666667,0.577350269
HDAC4_ligand_42,-7,-6.9,-7,-6.966666667,0.057735027
HDAC4_ligand_43,-6.6,-6.8,-6.6,-6.666666667,0.115470054
HDAC4_ligand_44,-7.3,-7.3,-7.3,-7.3,0
HDAC4_ligand_45,-7.5,-6,-7.5,-7,0.866025404
HDAC4_ligand_46,-7,-6,-7,-6.666666667,0.577350269
HDAC4_ligand_47,-9.2,-7.1,-9.2,-8.5,1.212435565
HDAC4_ligand_48,-7.8,-7.9,-7.9,-7.866666667,0.057735027
HDAC4_ligand_49,-7.2,-5.6,-7.4,-6.733333333,0.986576572
HDAC4_ligand_5,-5.8,-5.8,-5.8,-5.8,0
HDAC4_ligand_50,-7.6,-5.9,-7.1,-6.866666667,0.873689495
HDAC4_ligand_6,-4.8,-4.5,-5.3,-4.866666667,0.404145188
HDAC4_ligand_7,-6.2,-5.5,-6.2,-5.966666667,0.404145188
HDAC4_ligand_8,-6.3,-6.3,-6.3,-6.3,0
HDAC4_ligand_9,-6.1,-5.9,-6.1,-6.033333333,0.115470054
HDAC4_romidepsin,-7.7,-7,-7.7,-7.466666667,0.404145188
HDAC4_santacruzamate_A,-7.2,-6.8,-7.4,-7.133333333,0.305505046
HDAC4_trichostatin_A,-7.8,-5.2,-7.9,-6.966666667,1.530795
HDAC4_vorinostat,-7.4,-6.5,-7,-6.966666667,0.450924975
