Ligand,Binding Affinity,Binding Affinity,Binding Affinity,mean,standard deviation
HDAC5_LMK-235,-4,-4.1,-4.1,-4.066666667,0.057735027
HDAC5_MC1568,-4.6,-4.6,-4.6,-4.6,0
HDAC5_PCI-34051,-4.7,-4.6,-4.6,-4.633333333,0.057735027
HDAC5_RGFP996,-5,-4.9,-4.9,-4.933333333,0.057735027
HDAC5_Ricolinostat,-5.1,-5.1,-5.1,-5.1,0
HDAC5_TMP195,-6.1,-5.6,-5.6,-5.766666667,0.288675135
HDAC5_Tubacin,-7,-7,-7,-7,0
HDAC5_ligand_1,-3,-3,-3,-3,0
HDAC5_ligand_10,-2.7,-3.1,-3.1,-2.966666667,0.230940108
HDAC5_ligand_11,-3.1,-3,-3,-3.033333333,0.057735027
HDAC5_ligand_12,-4.7,-4.7,-4.7,-4.7,0
HDAC5_ligand_13,-4.1,-4.1,-4.1,-4.1,0
HDAC5_ligand_14,-3.6,-3.6,-3.6,-3.6,0
HDAC5_ligand_15,-2.7,-3.2,-3.2,-3.033333333,0.288675135
HDAC5_ligand_16,-4.6,-4.6,-4.6,-4.6,0
HDAC5_ligand_17,-4.1,-4.1,-4.1,-4.1,0
HDAC5_ligand_18,-3.7,-3.6,-3.6,-3.633333333,0.057735027
HDAC5_ligand_19,-3.3,-3.4,-3.4,-3.366666667,0.057735027
HDAC5_ligand_2,-2.5,-3.1,-3.1,-2.9,0.346410162
HDAC5_ligand_20,-3.4,-3.4,-3.4,-3.4,0
HDAC5_ligand_21,-4.7,-4.6,-4.6,-4.633333333,0.057735027
HDAC5_ligand_22,-3.5,-3.5,-3.5,-3.5,0
HDAC5_ligand_23,-3.6,-3.5,-3.5,-3.533333333,0.057735027
HDAC5_ligand_24,-3.7,-3.7,-3.7,-3.7,5.43896E-16
HDAC5_ligand_25,-3.5,-3.5,-3.5,-3.5,0
HDAC5_ligand_26,-3.4,-3.4,-3.4,-3.4,0
HDAC5_ligand_27,-3,-3.2,-3.2,-3.133333333,0.115470054
HDAC5_ligand_28,-4.1,-4.1,-4.1,-4.1,0
HDAC5_ligand_29,-4.8,-4.8,-4.8,-4.8,0
HDAC5_ligand_3,-3.1,-3.2,-3.2,-3.166666667,0.057735027
HDAC5_ligand_30,-3.1,-3.1,-3.1,-3.1,0
HDAC5_ligand_31,-4.2,-4.3,-4.3,-4.266666667,0.057735027
HDAC5_ligand_32,-3.2,-3,-3,-3.066666667,0.115470054
HDAC5_ligand_33,-4.2,-4.2,-4.2,-4.2,0
HDAC5_ligand_34,-3.6,-3.4,-3.4,-3.466666667,0.115470054
HDAC5_ligand_35,-4.8,-4.7,-4.7,-4.733333333,0.057735027
HDAC5_ligand_36,-4.3,-4.3,-4.3,-4.3,0
HDAC5_ligand_37,-4.1,-4.1,-4.1,-4.1,0
HDAC5_ligand_38,-3.4,-3.6,-3.6,-3.533333333,0.115470054
HDAC5_ligand_39,-5.1,-5.1,-5.1,-5.1,0
HDAC5_ligand_4,-3.5,-3.5,-3.5,-3.5,0
HDAC5_ligand_40,-4,-4,-4,-4,0
HDAC5_ligand_41,-4.2,-4.2,-4.2,-4.2,0
HDAC5_ligand_42,-3.9,-3.9,-3.9,-3.9,0
HDAC5_ligand_43,-4.1,-4,-4,-4.033333333,0.057735027
HDAC5_ligand_44,-3.6,-3.7,-3.7,-3.666666667,0.057735027
HDAC5_ligand_45,-4,-4,-4,-4,0
HDAC5_ligand_46,-3.9,-3.9,-3.9,-3.9,0
HDAC5_ligand_47,-4.6,-4,-4,-4.2,0.346410162
HDAC5_ligand_48,-4.5,-4.5,-4.5,-4.5,0
HDAC5_ligand_49,-3.7,-3.7,-3.7,-3.7,5.43896E-16
HDAC5_ligand_5,-3.6,-3.6,-3.6,-3.6,0
HDAC5_ligand_50,-3.6,-3.6,-3.6,-3.6,0
HDAC5_ligand_6,-2.8,-2.8,-2.8,-2.8,5.43896E-16
HDAC5_ligand_7,-3.1,-3.2,-3.2,-3.166666667,0.057735027
HDAC5_ligand_8,-3.7,-3.8,-3.8,-3.766666667,0.057735027
HDAC5_ligand_9,-3.6,-3.7,-3.7,-3.666666667,0.057735027
HDAC5_romidepsin,-4.8,-4.7,-4.7,-4.733333333,0.057735027
HDAC5_santacruzamate_A,-3.9,-3.9,-3.9,-3.9,0
HDAC5_trichostatin_A,-4.5,-4.5,-4.5,-4.5,0
HDAC5_vorinostat,-3.9,-4.3,-4.3,-4.166666667,0.230940108
